problem;V;gestosc;algorytm;reprezentacja;sredni_czas_us
MST;20;20;Prim;lista;19
MST;20;20;Prim;macierz;20
MST;20;20;Kruskal;lista;12
MST;20;20;Kruskal;macierz;10
MST;20;60;Prim;lista;34
MST;20;60;Prim;macierz;35
MST;20;60;Kruskal;lista;22
MST;20;60;Kruskal;macierz;20
MST;20;99;Prim;lista;39
MST;20;99;Prim;macierz;36
MST;20;99;Kruskal;lista;30
MST;20;99;Kruskal;macierz;27
MST;40;20;Prim;lista;52
MST;40;20;Prim;macierz;58
MST;40;20;Kruskal;lista;28
MST;40;20;Kruskal;macierz;29
MST;40;60;Prim;lista;83
MST;40;60;Prim;macierz;90
MST;40;60;Kruskal;lista;71
MST;40;60;Kruskal;macierz;70
MST;40;99;Prim;lista;106
MST;40;99;Prim;macierz;98
MST;40;99;Kruskal;lista;112
MST;40;99;Kruskal;macierz;102
MST;60;20;Prim;lista;97
MST;60;20;Prim;macierz;110
MST;60;20;Kruskal;lista;58
MST;60;20;Kruskal;macierz;61
MST;60;60;Prim;lista;156
MST;60;60;Prim;macierz;171
MST;60;60;Kruskal;lista;153
MST;60;60;Kruskal;macierz;152
MST;60;99;Prim;lista;210
MST;60;99;Prim;macierz;193
MST;60;99;Kruskal;lista;254
MST;60;99;Kruskal;macierz;232
MST;80;20;Prim;lista;157
MST;80;20;Prim;macierz;184
MST;80;20;Kruskal;lista;104
MST;80;20;Kruskal;macierz;108
MST;80;60;Prim;lista;248
MST;80;60;Prim;macierz;286
MST;80;60;Kruskal;lista;261
MST;80;60;Kruskal;macierz;256
MST;80;99;Prim;lista;308
MST;80;99;Prim;macierz;280
MST;80;99;Kruskal;lista;409
MST;80;99;Kruskal;macierz;376
MST;100;20;Prim;lista;215
MST;100;20;Prim;macierz;257
MST;100;20;Kruskal;lista;154
MST;100;20;Kruskal;macierz;161
MST;100;60;Prim;lista;343
MST;100;60;Prim;macierz;390
MST;100;60;Kruskal;lista;393
MST;100;60;Kruskal;macierz;391
MST;100;99;Prim;lista;447
MST;100;99;Prim;macierz;405
MST;100;99;Kruskal;lista;646
MST;100;99;Kruskal;macierz;600
MST;150;20;Prim;lista;395
MST;150;20;Prim;macierz;489
MST;150;20;Kruskal;lista;312
MST;150;20;Kruskal;macierz;335
MST;150;60;Prim;lista;640
MST;150;60;Prim;macierz;743
MST;150;60;Kruskal;lista;855
MST;150;60;Kruskal;macierz;853
MST;150;99;Prim;lista;822
MST;150;99;Prim;macierz;732
MST;150;99;Kruskal;lista;1376
MST;150;99;Kruskal;macierz;1261
MST;200;20;Prim;lista;611
MST;200;20;Prim;macierz;773
MST;200;20;Kruskal;lista;532
MST;200;20;Kruskal;macierz;573
MST;200;60;Prim;lista;1011
MST;200;60;Prim;macierz;1197
MST;200;60;Kruskal;lista;1504
MST;200;60;Kruskal;macierz;1502
MST;200;99;Prim;lista;1302
MST;200;99;Prim;macierz;1118
MST;200;99;Kruskal;lista;2423
MST;200;99;Kruskal;macierz;2220
