problem;V;gestosc;algorytm;reprezentacja;sredni_czas_us
Sciezki;20;20;Dijkstra;lista;35
Sciezki;20;20;Dijkstra;macierz;38
Sciezki;20;20;Bellman;lista;11
Sciezki;20;20;Bellman;macierz;25
Sciezki;20;60;Dijkstra;lista;48
Sciezki;20;60;Dijkstra;macierz;52
Sciezki;20;60;Bellman;lista;17
Sciezki;20;60;Bellman;macierz;33
Sciezki;20;99;Dijkstra;lista;48
Sciezki;20;99;Dijkstra;macierz;46
Sciezki;20;99;Bellman;lista;20
Sciezki;20;99;Bellman;macierz;16
Sciezki;40;20;Dijkstra;lista;57
Sciezki;40;20;Dijkstra;macierz;66
Sciezki;40;20;Bellman;lista;23
Sciezki;40;20;Bellman;macierz;69
Sciezki;40;60;Dijkstra;lista;74
Sciezki;40;60;Dijkstra;macierz;86
Sciezki;40;60;Bellman;lista;39
Sciezki;40;60;Bellman;macierz;85
Sciezki;40;99;Dijkstra;lista;74
Sciezki;40;99;Dijkstra;macierz;70
Sciezki;40;99;Bellman;lista;46
Sciezki;40;99;Bellman;macierz;37
Sciezki;60;20;Dijkstra;lista;65
Sciezki;60;20;Dijkstra;macierz;79
Sciezki;60;20;Bellman;lista;30
Sciezki;60;20;Bellman;macierz;103
Sciezki;60;60;Dijkstra;lista;101
Sciezki;60;60;Dijkstra;macierz;121
Sciezki;60;60;Bellman;lista;63
Sciezki;60;60;Bellman;macierz;148
Sciezki;60;99;Dijkstra;lista;122
Sciezki;60;99;Dijkstra;macierz;115
Sciezki;60;99;Bellman;lista;96
Sciezki;60;99;Bellman;macierz;75
Sciezki;80;20;Dijkstra;lista;105
Sciezki;80;20;Dijkstra;macierz;130
Sciezki;80;20;Bellman;lista;53
Sciezki;80;20;Bellman;macierz;199
Sciezki;80;60;Dijkstra;lista;172
Sciezki;80;60;Dijkstra;macierz;218
Sciezki;80;60;Bellman;lista;128
Sciezki;80;60;Bellman;macierz;315
Sciezki;80;99;Dijkstra;lista;196
Sciezki;80;99;Dijkstra;macierz;182
Sciezki;80;99;Bellman;lista;174
Sciezki;80;99;Bellman;macierz;138
Sciezki;100;20;Dijkstra;lista;143
Sciezki;100;20;Dijkstra;macierz;185
Sciezki;100;20;Bellman;lista;77
Sciezki;100;20;Bellman;macierz;296
Sciezki;100;60;Dijkstra;lista;220
Sciezki;100;60;Dijkstra;macierz;280
Sciezki;100;60;Bellman;lista;184
Sciezki;100;60;Bellman;macierz;480
Sciezki;100;99;Dijkstra;lista;259
Sciezki;100;99;Dijkstra;macierz;243
Sciezki;100;99;Bellman;lista;259
Sciezki;100;99;Bellman;macierz;203
Sciezki;150;20;Dijkstra;lista;261
Sciezki;150;20;Dijkstra;macierz;361
Sciezki;150;20;Bellman;lista;174
Sciezki;150;20;Bellman;macierz;735
Sciezki;150;60;Dijkstra;lista;398
Sciezki;150;60;Dijkstra;macierz;541
Sciezki;150;60;Bellman;lista;405
Sciezki;150;60;Bellman;macierz;1080
Sciezki;150;99;Dijkstra;lista;467
Sciezki;150;99;Dijkstra;macierz;433
Sciezki;150;99;Bellman;lista;577
Sciezki;150;99;Bellman;macierz;449
Sciezki;200;20;Dijkstra;lista;402
Sciezki;200;20;Dijkstra;macierz;580
Sciezki;200;20;Bellman;lista;310
Sciezki;200;20;Bellman;macierz;1357
Sciezki;200;60;Dijkstra;lista;603
Sciezki;200;60;Dijkstra;macierz;847
Sciezki;200;60;Bellman;lista;711
Sciezki;200;60;Bellman;macierz;1917
Sciezki;200;99;Dijkstra;lista;710
Sciezki;200;99;Dijkstra;macierz;649
Sciezki;200;99;Bellman;lista;1038
Sciezki;200;99;Bellman;macierz;811
